OrganisationLabel,OrganisationURI,EffectiveDate,UPRN,AssetCode,PropertyName,StreetNumber,StreetName,PostTown,PostCode,CoordinateReferenceSystem,GeoX,GeoY,TenureType,TenureDetail,OtherDetail,HoldingType,BuildingSize,LandArea,EnergyRating
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070406852,TMBC0398/B0000067,Lostock Youth Centre,,"Lostock College Campus, Selby Road",Stretford,M32 9PL,WGS84,-2.33038,53.45414,Freehold,Leasehold In,,Buildings,250,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070406912,TMBC0399/B0000064,Old Trafford Youth Centre,,St Hildas Road,Old Trafford,M16 9PQ,WGS84,-2.27311,53.46061,Freehold,Other,Undocumented Tenancy,Buildings,565,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446259,TMBC0400/B0000086,Sale West Youth Centre (Integrated with Sale West Community Centre),,Newbury Avenue,Sale,M33 4QW,WGS84,-2.35714,53.41868,Freehold,Owner Occupied,,Buildings,619.9,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446233,TMBC0401,Hermitage Bowling Green,,Hale Road,Hale,WA15 8DG,WGS84,-2.33191,53.37889,Freehold,Other,Undocumented Tenancy,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070406912,TMBC0402,Navigation Primary School,,Hawarden Road,Altrinchm,WA14 1NG,WGS84,-2.34782,53.39602,Freehold,Other,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,100012710914,TMBC0403,Wellacre,,Irlam Road,Urmston,M41 6AP,WGS84,-2.39481,53.44755,Freehold,Other,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0404,"Part of 'Brooklands Rest Park' fronting to both Marsland Road and Brooklands Road, Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0405,"Land adjoining Poplar Road, Stretford, St. Mathews C of E Controlled Primary School",,,Stretford,M32,WGS84,-2.31588,53.44097,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0406,"Land at the junction of Barton Road and Poplar Road, Stretford",,,Stretford,M32,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0407,"18, Stamford Street and 18, George Street, Altrincham",,Stamford Street,Altrincham,WA14 1,,,,Leasehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0408,"Land fronting to Shaftesbury Avenue, situated between Nos. 81 and 93",,Shaftesbury Avenue,Timperley,WA15 7NP,WGS84,-2.32065,53.39249,Leasehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0409,Land fronting to Addison Road,,Addison Road,Stretford,M32,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0410,"Tennis Courts. Land fronting to Carver Road, Hale",,Carver Road,Hale,WA15 9BH,WGS84,-2.34371,53.37771,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0411,Land fronting to Addison Road and Leigh Road,,Addison Road,Hale,WA15 9BE,WGS84,-2.343911,53.376683,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0412,"Land lying to the north of Sylvan Avenue, Timperley",,Sylvan Avenue,Timperley,WA15,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0413,"Land along the south of Fairywell Brook, forming part of Wood Lane, rear of Raven Road and Woodhouse Lane East",,Wood Lane,Timperley,WA15,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0414,Land at the junction of Dale Street and Dale Square,,Dale Street,Altrincham,,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0416,"Land situated in Little Ees Lane, Sale, Stromford Brook forms the northern boundary",,,Sale,M33,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0417,"Land at the rear of St. Mary's Road, Sale. St. Mary Magdalen Church of England Aided Primary School",,St. Mary's Road,Sale,M33 6SA,WGS84,-2.33154,53.42372,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0418,"Land rear of the 'Paintworks' on the north side of Wood Lane, Partington. Our Lady of Lourdes Roman Catholic Primary additional playing fields",,Wood Lane,Partington,M31 4PJ,WGS84,-2.43614,53.41803,Freehold,Other,Land,Land,,,
